city,country,continent,hemisphere,year,temp_annual_mean,temp_annual_avg_max,temp_annual_record_max,temp_annual_avg_min,temp_annual_record_min,temp_range_mean,anomaly_annual_mean,latitude,longitude
Sydney,Australia,Australia,Southern,2021,16.81917808219178,21.244931506849316,36.8,12.9,3.3,8.344931506849315,-0.9629686867019758,-33.8688,151.2093
Sydney,Australia,Australia,Southern,2022,17.003013698630138,20.99342465753425,32.8,13.417260273972603,2.8,7.576164383561644,-0.7791330702636197,-33.8688,151.2093
Sydney,Australia,Australia,Southern,2023,17.575616438356164,22.56986301369863,39.2,13.083835616438357,2.8,9.486027397260274,-0.2065303305375923,-33.8688,151.2093
Sydney,Australia,Australia,Southern,2024,17.835245901639343,22.19890710382514,36.6,13.881147540983607,2.4,8.31775956284153,0.0530991327455875,-33.8688,151.2093
Tokyo,Japan,Asia,Northern,2015,15.176986301369864,18.961369863013697,35.7,11.781917808219177,-3.4,7.17945205479452,-0.0934408618283845,35.6762,139.6503
Tokyo,Japan,Asia,Northern,2016,15.328142076502733,19.174590163934425,35.1,11.80846994535519,-4.5,7.366120218579235,0.057714913304484756,35.6762,139.6503
Tokyo,Japan,Asia,Northern,2017,14.842465753424657,19.245753424657533,35.8,11.002191780821919,-4.7,8.243561643835617,-0.4279614097735899,35.6762,139.6503
Tokyo,Japan,Asia,Northern,2018,15.625205479452054,20.028219178082193,39.1,11.72219178082192,-7.2,8.306027397260273,0.35477831625380724,35.6762,139.6503
Tokyo,Japan,Asia,Northern,2019,15.37917808219178,19.72,35.5,11.603561643835617,-3.4,8.116438356164384,0.10875091899353316,35.6762,139.6503
Tokyo,Japan,Asia,Northern,2020,15.532786885245901,19.770765027322405,36.2,11.852185792349726,-3.9,7.918579234972677,0.2623597220476541,35.6762,139.6503
Tokyo,Japan,Asia,Northern,2021,15.540000000000001,20.117260273972605,35.2,11.555616438356164,-5.0,8.561643835616438,0.2695728368017525,35.6762,139.6503
Tokyo,Japan,Asia,Northern,2022,15.423287671232877,20.045753424657534,36.7,11.395616438356164,-7.7,8.650136986301371,0.15286050803462922,35.6762,139.6503
Tokyo,Japan,Asia,Northern,2023,16.677260273972603,21.558082191780823,39.3,12.396986301369862,-6.1,9.161095890410959,1.406833110774355,35.6762,139.6503
Tokyo,Japan,Asia,Northern,2024,16.692622950819672,21.241803278688526,38.8,12.787704918032787,-4.7,8.454098360655738,1.4221957876214246,35.6762,139.6503
Toronto,Canada,North America,Northern,2015,8.378356164383561,11.945479452054796,30.7,4.838630136986301,-24.3,7.1068493150684935,-0.5558168914762399,43.6532,-79.3832
Toronto,Canada,North America,Northern,2016,9.989890710382515,13.436885245901639,32.8,6.5144808743169405,-23.2,6.922404371584699,1.0557176545227123,43.6532,-79.3832
Toronto,Canada,North America,Northern,2017,9.134246575342466,12.994794520547947,30.1,5.219452054794521,-24.8,7.7753424657534245,0.20007351948266408,43.6532,-79.3832
Toronto,Canada,North America,Northern,2018,9.00849315068493,12.767123287671232,32.5,5.0230136986301375,-24.5,7.744109589041096,0.07432009482512993,43.6532,-79.3832
Toronto,Canada,North America,Northern,2019,8.156986301369864,12.193424657534248,32.9,3.9709589041095894,-21.9,8.222465753424657,-0.7771867544899387,43.6532,-79.3832
Toronto,Canada,North America,Northern,2020,9.706830601092896,13.58688524590164,34.0,5.6502732240437155,-21.6,7.936612021857924,0.7726575452330946,43.6532,-79.3832
Toronto,Canada,North America,Northern,2021,10.006301369863014,13.906301369863014,32.1,6.043835616438356,-17.6,7.862465753424658,1.072128314003212,43.6532,-79.3832
Toronto,Canada,North America,Northern,2022,8.722739726027397,12.832602739726026,33.3,4.469315068493151,-22.6,8.363287671232877,-0.21143332983240434,43.6532,-79.3832
Toronto,Canada,North America,Northern,2023,9.804657534246575,13.623013698630135,31.9,5.8772602739726025,-25.1,7.745753424657534,0.8704844783867738,43.6532,-79.3832
Toronto,Canada,North America,Northern,2024,10.262021857923498,14.09207650273224,30.9,6.511748633879782,-17.0,7.580327868852459,1.3278488020636956,43.6532,-79.3832
